
19,[0.75],[0.64]
39,[0.8],[0.73]
59,[0.82],[0.79]
79,[0.82],[0.81]
99,[0.82],[0.81]
119,[0.82],[0.81]
139,[0.82],[0.81]
159,[0.82],[0.81]
179,[0.82],[0.81]
199,[0.82],[0.81]
219,[0.82],[0.81]
239,[0.82],[0.81]
259,[0.82],[0.81]
279,[0.82],[0.81]
299,[0.82],[0.81]
319,[0.82],[0.81]
339,[0.82],[0.81]
359,[0.82],[0.81]
379,[0.82],[0.81]
399,[0.82],[0.81]
419,[0.82],[0.81]
439,[0.82],[0.81]
459,[0.82],[0.81]
479,[0.82],[0.81]
499,[0.82],[0.81]
519,[0.82],[0.81]
539,[0.82],[0.81]
559,[0.82],[0.81]
579,[0.82],[0.81]
599,[0.82],[0.81]
619,[0.82],[0.81]
639,[0.82],[0.81]
659,[0.82],[0.81]
679,[0.82],[0.81]
699,[0.82],[0.81]
719,[0.82],[0.81]
739,[0.82],[0.81]
759,[0.82],[0.81]
779,[0.82],[0.81]
799,[0.82],[0.81]
819,[0.82],[0.81]
839,[0.82],[0.81]
859,[0.82],[0.81]
879,[0.82],[0.81]
899,[0.82],[0.81]
919,[0.82],[0.81]
939,[0.82],[0.81]
959,[0.82],[0.81]
979,[0.82],[0.81]
999,[0.82],[0.81]
1019,[0.82],[0.81]
1039,[0.82],[0.81]
1059,[0.82],[0.81]
1079,[0.82],[0.81]
1099,[0.82],[0.81]
1119,[0.82],[0.81]
1139,[0.82],[0.81]
1159,[0.82],[0.81]
1179,[0.82],[0.81]
1199,[0.82],[0.81]
1219,[0.82],[0.81]
1239,[0.82],[0.81]
1259,[0.82],[0.81]
1279,[0.82],[0.81]
1299,[0.82],[0.81]
1319,[0.82],[0.81]
1339,[0.82],[0.81]
1359,[0.82],[0.81]
1379,[0.82],[0.81]
1399,[0.82],[0.81]
1419,[0.82],[0.81]
1439,[0.82],[0.81]
1459,[0.82],[0.81]
1479,[0.82],[0.81]
1499,[0.82],[0.81]
1519,[0.82],[0.81]
1539,[0.82],[0.81]
1559,[0.82],[0.81]
1579,[0.82],[0.81]
1599,[0.82],[0.81]
1619,[0.82],[0.81]
1639,[0.82],[0.81]
1659,[0.82],[0.81]
1679,[0.82],[0.81]
1699,[0.82],[0.81]
1719,[0.82],[0.81]
1739,[0.82],[0.81]
1759,[0.82],[0.81]
1779,[0.82],[0.81]
1799,[0.82],[0.81]
1819,[0.82],[0.81]
1839,[0.82],[0.81]
1859,[0.82],[0.81]
1879,[0.82],[0.81]
1899,[0.82],[0.81]
1919,[0.82],[0.81]
1939,[0.82],[0.81]
1959,[0.82],[0.81]
1979,[0.82],[0.81]
1999,[0.82],[0.81]
2019,[0.82],[0.81]
2039,[0.82],[0.81]
2059,[0.82],[0.81]
2079,[0.82],[0.81]
2099,[0.82],[0.81]
2119,[0.82],[0.81]
2139,[0.82],[0.81]
2159,[0.82],[0.81]
2179,[0.82],[0.81]
2199,[0.82],[0.81]
2219,[0.82],[0.81]
2239,[0.82],[0.81]
2259,[0.82],[0.81]
2279,[0.82],[0.81]
2299,[0.82],[0.81]
2319,[0.82],[0.81]
2339,[0.82],[0.81]
2359,[0.82],[0.81]
2379,[0.82],[0.81]
2399,[0.82],[0.81]
2419,[0.82],[0.81]
2439,[0.82],[0.81]
2459,[0.82],[0.81]
2479,[0.82],[0.81]
2499,[0.82],[0.81]
2519,[0.82],[0.81]
2539,[0.82],[0.81]
2559,[0.82],[0.81]
2579,[0.82],[0.81]
2599,[0.82],[0.81]
2619,[0.82],[0.81]
2639,[0.82],[0.81]
2659,[0.82],[0.81]
2679,[0.82],[0.81]
2699,[0.82],[0.81]
2719,[0.82],[0.81]
2739,[0.82],[0.81]
2759,[0.82],[0.81]
2779,[0.82],[0.81]
2799,[0.82],[0.81]
2819,[0.82],[0.81]
2839,[0.82],[0.81]
2859,[0.82],[0.81]
2879,[0.82],[0.81]
2899,[0.82],[0.81]
2919,[0.82],[0.81]
2939,[0.82],[0.81]
2959,[0.82],[0.81]
2979,[0.82],[0.81]
2999,[0.82],[0.81]
3019,[0.82],[0.81]
3039,[0.82],[0.81]
3059,[0.82],[0.81]
3079,[0.82],[0.81]
3099,[0.82],[0.81]
3119,[0.82],[0.81]
3139,[0.82],[0.81]
3159,[0.82],[0.81]
3179,[0.82],[0.81]
3199,[0.82],[0.81]
3219,[0.82],[0.81]
3239,[0.82],[0.81]
3259,[0.82],[0.81]
3279,[0.82],[0.81]
3299,[0.82],[0.81]
3319,[0.82],[0.81]
3339,[0.82],[0.81]
3359,[0.82],[0.81]
3379,[0.82],[0.81]
3399,[0.82],[0.81]
3419,[0.82],[0.81]
3439,[0.82],[0.81]
3459,[0.82],[0.81]
3479,[0.82],[0.81]
3499,[0.82],[0.81]
3519,[0.82],[0.81]
3539,[0.82],[0.81]
3559,[0.82],[0.81]
3579,[0.82],[0.81]
3599,[0.82],[0.81]
3619,[0.82],[0.81]
3639,[0.82],[0.81]
3659,[0.82],[0.81]
3679,[0.82],[0.81]
3699,[0.82],[0.81]
3719,[0.82],[0.81]
3739,[0.82],[0.81]
3759,[0.82],[0.81]
3779,[0.82],[0.81]
3799,[0.82],[0.81]
3819,[0.82],[0.81]
3839,[0.82],[0.81]
3859,[0.82],[0.81]
3879,[0.82],[0.81]
3899,[0.82],[0.81]
3919,[0.82],[0.81]
3939,[0.82],[0.81]
3959,[0.82],[0.81]
3979,[0.82],[0.81]
3999,[0.82],[0.81]
4019,[0.82],[0.81]
4039,[0.82],[0.81]
4059,[0.82],[0.81]
4079,[0.82],[0.81]
4099,[0.82],[0.81]
4119,[0.82],[0.81]
4139,[0.82],[0.81]
4159,[0.82],[0.81]
4179,[0.82],[0.81]
4199,[0.82],[0.81]
4219,[0.82],[0.81]
4239,[0.82],[0.81]
4259,[0.82],[0.81]
4279,[0.82],[0.81]
4299,[0.82],[0.81]
4319,[0.82],[0.81]
4339,[0.82],[0.81]
4359,[0.82],[0.81]
4379,[0.82],[0.81]
4399,[0.82],[0.81]
4419,[0.82],[0.81]
