
19,[0.55],[0.49]
39,[0.63],[0.51]
59,[0.64],[0.55]
79,[0.69],[0.6]
99,[0.72],[0.64]
119,[0.72],[0.66]
139,[0.72],[0.66]
159,[0.72],[0.67]
179,[0.73],[0.69]
199,[0.73],[0.69]
219,[0.74],[0.69]
239,[0.74],[0.7]
259,[0.74],[0.7]
279,[0.74],[0.7]
299,[0.74],[0.71]
319,[0.74],[0.71]
339,[0.76],[0.71]
359,[0.76],[0.72]
379,[0.76],[0.72]
399,[0.76],[0.72]
419,[0.76],[0.73]
439,[0.77],[0.73]
459,[0.77],[0.73]
479,[0.77],[0.74]
499,[0.77],[0.74]
519,[0.77],[0.74]
539,[0.77],[0.75]
559,[0.77],[0.75]
579,[0.77],[0.75]
599,[0.77],[0.75]
619,[0.77],[0.75]
639,[0.77],[0.75]
659,[0.77],[0.75]
679,[0.77],[0.76]
699,[0.77],[0.76]
719,[0.77],[0.76]
739,[0.77],[0.76]
759,[0.77],[0.76]
779,[0.78],[0.76]
799,[0.78],[0.76]
819,[0.78],[0.76]
839,[0.79],[0.76]
859,[0.79],[0.76]
879,[0.79],[0.77]
899,[0.79],[0.77]
919,[0.79],[0.77]
939,[0.79],[0.77]
959,[0.79],[0.77]
979,[0.8],[0.77]
999,[0.8],[0.77]
1019,[0.8],[0.77]
1039,[0.8],[0.78]
1059,[0.8],[0.78]
1079,[0.81],[0.78]
1099,[0.81],[0.78]
1119,[0.81],[0.78]
1139,[0.81],[0.78]
1159,[0.82],[0.78]
1179,[0.82],[0.78]
1199,[0.82],[0.79]
1219,[0.82],[0.79]
1239,[0.82],[0.79]
1259,[0.82],[0.79]
1279,[0.82],[0.79]
1299,[0.82],[0.79]
1319,[0.82],[0.79]
1339,[0.82],[0.79]
1359,[0.82],[0.79]
1379,[0.82],[0.79]
1399,[0.82],[0.79]
1419,[0.82],[0.8]
1439,[0.82],[0.8]
1459,[0.82],[0.8]
1479,[0.82],[0.8]
1499,[0.82],[0.8]
1519,[0.82],[0.8]
1539,[0.82],[0.8]
1559,[0.82],[0.8]
1579,[0.82],[0.8]
1599,[0.82],[0.81]
1619,[0.82],[0.81]
1639,[0.82],[0.81]
1659,[0.82],[0.81]
1679,[0.83],[0.81]
1699,[0.83],[0.81]
1719,[0.83],[0.81]
1739,[0.83],[0.81]
1759,[0.83],[0.81]
1779,[0.83],[0.81]
1799,[0.83],[0.81]
1819,[0.83],[0.81]
1839,[0.83],[0.81]
1859,[0.83],[0.81]
1879,[0.83],[0.81]
1899,[0.83],[0.81]
1919,[0.83],[0.81]
1939,[0.83],[0.81]
1959,[0.83],[0.81]
1979,[0.83],[0.81]
1999,[0.83],[0.81]
2019,[0.83],[0.81]
2039,[0.83],[0.81]
2059,[0.83],[0.81]
2079,[0.83],[0.81]
2099,[0.83],[0.81]
2119,[0.83],[0.81]
2139,[0.83],[0.81]
2159,[0.83],[0.81]
2179,[0.83],[0.81]
2199,[0.83],[0.81]
2219,[0.83],[0.81]
2239,[0.83],[0.81]
2259,[0.83],[0.81]
2279,[0.83],[0.81]
2299,[0.83],[0.81]
2319,[0.83],[0.81]
2339,[0.83],[0.81]
2359,[0.83],[0.82]
2379,[0.83],[0.82]
2399,[0.83],[0.82]
2419,[0.83],[0.82]
2439,[0.83],[0.82]
2459,[0.83],[0.82]
2479,[0.83],[0.82]
2499,[0.83],[0.82]
2519,[0.83],[0.82]
2539,[0.83],[0.82]
2559,[0.83],[0.82]
2579,[0.83],[0.82]
2599,[0.83],[0.82]
2619,[0.83],[0.82]
2639,[0.83],[0.82]
2659,[0.83],[0.82]
2679,[0.83],[0.82]
2699,[0.83],[0.82]
2719,[0.83],[0.82]
2739,[0.83],[0.82]
2759,[0.84],[0.82]
2779,[0.84],[0.82]
2799,[0.84],[0.82]
2819,[0.84],[0.82]
2839,[0.84],[0.82]
2859,[0.84],[0.82]
2879,[0.84],[0.82]
2899,[0.84],[0.82]
2919,[0.84],[0.82]
2939,[0.84],[0.82]
2959,[0.84],[0.82]
2979,[0.84],[0.82]
2999,[0.84],[0.82]
3019,[0.84],[0.82]
3039,[0.84],[0.82]
3059,[0.84],[0.82]
3079,[0.84],[0.83]
3099,[0.84],[0.83]
3119,[0.84],[0.83]
3139,[0.84],[0.83]
3159,[0.84],[0.83]
3179,[0.84],[0.83]
3199,[0.84],[0.83]
3219,[0.84],[0.83]
3239,[0.84],[0.83]
3259,[0.84],[0.83]
3279,[0.84],[0.83]
3299,[0.84],[0.83]
3319,[0.84],[0.83]
3339,[0.84],[0.83]
3359,[0.84],[0.83]
3379,[0.84],[0.83]
3399,[0.84],[0.83]
3419,[0.84],[0.83]
3439,[0.84],[0.83]
3459,[0.84],[0.83]
3479,[0.84],[0.83]
3499,[0.84],[0.83]
3519,[0.84],[0.83]
3539,[0.84],[0.83]
3559,[0.84],[0.83]
3579,[0.84],[0.83]
3599,[0.84],[0.83]
3619,[0.84],[0.83]
3639,[0.84],[0.83]
3659,[0.84],[0.83]
3679,[0.84],[0.83]
3699,[0.84],[0.83]
3719,[0.84],[0.83]
3739,[0.84],[0.83]
3759,[0.84],[0.83]
3779,[0.84],[0.83]
3799,[0.84],[0.83]
3819,[0.84],[0.83]
3839,[0.84],[0.83]
3859,[0.84],[0.83]
3879,[0.84],[0.83]
3899,[0.84],[0.83]
